disease,desc
epidural hemorrhage,"Epidural or extradural hematoma (haematoma) is a type of traumatic brain injury (TBI) in which a buildup of blood occurs between the dura mater (the tough outer membrane of the central nervous system) and the skull. The dura mater also covers the spine so epidural bleeds may also occur in the spinal column. Often due to trauma the condition is potentially deadly because the buildup of blood may increase pressure in the intracranial space compress delicate brain tissueand cause brain shift. The condition is present in one to three percent of head injuries. Between 15 and 20% of epidural hematomas are fatal. , Source: Wikipedia"
septic arthritis,"Also known as Pyogenic Arthritis Bacterial Arthritis Pyarthrosis Suppurative Arthritisand Purulent Arthritis  ,Septic arthritis is the purulent invasion of a joint by an infectious agent which produces arthritis. People with artificial joints are more at risk than the general population but have slightly different symptoms are infected with different organisms and require different treatment. Septic arthritis is considered a medical emergency. If untreated it may destroy the joint in a period of days. The infection may also spread to other parts of the body. , Source: Wikipedia"
athlete's foot,"Also known as Tinea Pedis and Foot Ringworm  ,Athlete's foot (also known as ringworm of the foot and tinea pedis) is a fungal infection of the skin that causes scaling flaking and itch of affected areas and in severe cases swelling and amputation of the foot. It is caused by fungi in the genus Trichophyton. While it is typically transmitted in moist communal areas where people walk barefoot such as showers or bathhouses the disease requires a warm moist environment such as the inside of a shoein order to incubate. Because of this the fungus only affects approximately 0.75% of habitually (frequently) barefoot people. , Source: Wikipedia"
pleural effusion,"Pleural effusion is excess fluid that accumulates between the two pleural layersthe fluid-filled space that surrounds the lungs. Excessive amounts of such fluid can impair breathing by limiting the expansion of the lungs during ventilation. , Source: Wikipedia"
aphakia,"Aphakia is the absence of the lens of the eye due to surgical removal a perforating wound or ulcer or congenital anomaly. It causes a loss of accommodation far sightedness (hyperopia) and a deep anterior chamber. Complications include detachment of the vitreous or retinaand glaucoma. , Source: Wikipedia"
vulvar disorder,"Also known as Vulvar Disease  ,The vulva is the external part of a woman’s genitals. Some problems you can have with the vulvar area include Bacterial or fungal infections Skin problems due to allergy  Vulvar cancer Vulvodyniaalso referred to as pain down there or feminine painSymptoms may include redness itching pain or cracks in the skin. Treatment depends on the cause. , Source: MedlinePlus"
vitamin b deficiency,"Bvitamins are a group of water-soluble vitamins that play important roles in cell metabolism. The B vitamins were once thought to be a single vitamin referred to as vitamin B (much as people refer to vitamin C). Later research showed that they are chemically distinct vitamins that often coexist in the same foods. In general supplements containing all eight are referred to as a vitamin B complex. Individual B vitamin supplements are referred to by the specific name of each vitamin (e.g. B1 B2B etc.). , Source: Wikipedia"
sialoadenitis,"Sialadenitis (sialoadenitis) is inflammation of a salivary gland. It may be subdivided temporally into acutechronic and recurrent forms. , Source: Wikipedia"
gynecomastia,"Also known as Male Breast Enlargement  ,Gynecomastia /ˌɡaɪnɨkɵˈmæstiə/ is the benign enlargement of breast tissue in males. It may occur transiently in newborns. Half or more of adolescent boys have some breast development during puberty. Gynecomastia may arise as an abnormal condition associated with disease or metabolic disorders as a side-effect of medication or as a result of the natural decrease of testosterone production in older males. In adolescent boys the condition is often a source of psychological distress; however7%of pubertal gynecomastia cases resolve within two years of onset without treatment. , Source: Wikipedia"
urinary tract infection,"Also known as UTI  ,A urinary tract infection (UTI) (also known as acute cystitis or bladder infection) is an infection that affects part of the urinary tract. When it affects the lower urinary tract it is known as a simple cystitis (a bladder infection) and when it affects the upper urinary tract it is known as pyelonephritis (a kidney infection). Symptoms from a lower urinary tract include painful urination and either frequent urination or urge to urinate (or both) while those of pyelonephritis include fever and flank pain in addition to the symptoms of a lower UTI. In the elderly and the very young symptoms may be vague or non specific. The main causal agent of both types is Escherichia coli however other bacteriaviruses or fungi may rarely be the cause. , Source: Wikipedia"
histoplasmosis,"Histoplasmosis (also known as Cave diseaseDarling's diseaseOhio valley diseaseReticuloendotheliosisSpelunker’s Lung and Caver's disease) is a disease caused by the fungus Histoplasma capsulatum. Symptoms of this infection vary greatly but the disease primarily affects the lungs. Occasionally other organs are affected; this is called disseminated histoplasmosisand it can be fatal if left untreated. , Source: Wikipedia"
erythema multiforme,"Also known as Erythema Polymorphe  ,Erythema multiforme is a skin condition of unknown cause possibly mediated by deposition of immune complex (mostly IgM) in the superficial microvasculature of the skin and oral mucous membrane that usually follows an infection or drug exposure. It is a common disorderwith peak incidence in the second and third decades of life. , Source: Wikipedia"
scoliosis,"Scoliosis (from Ancient Greek: σκολίωσις skoliosis obliquitybending) is a medical condition in which a person's spine is curved from side to side. Although it is a complex three-dimensional deformity on an X-ray viewed from the rearthe spine of an individual with scoliosis may look more like an S or a Crather than a straight line. , Source: Wikipedia"
bunion,"Ahallux abducto valgus deformity commonly called a bunion is a deformity characterized by lateral deviation of the great toeoften erroneously described as an enlargement of bone or tissue around the joint at the head of the big toe. , Source: Wikipedia"
arrhythmia,"Also known as Irregular Heartbeat Cardiac Arrhythmia Heart Arrhythmia Cardiac Dysrhythmiaand Abnormal Heart Rhythms  ,Cardiac dysrhythmia (also known as arrhythmia or irregular heartbeat) is any of a large and heterogeneous group of conditions in which there is abnormal electrical activity in the heart. The heartbeat may be too fast or too slow and may be regular or irregular. A heart beat that is too fast is called tachycardia and a heart beat that is too slow is called bradycardia. Although many arrhythmias are not life-threatening some can cause cardiac arrest. , Source: Wikipedia"
paget disease,"Also known as Paget Bone Disease and Osteitis Deformans  ,Sir James Paget a surgeon and pathologist described several diseasesincluding: , Source: Wikipedia"
trigeminal neuralgia,"Also known as Tic Douloureux and Fothergill Disease  ,Trigeminal neuralgia (TN or TGN) also known as prosopalgia suicide disease or Fothergill's disease is a neuropathic disorder characterized by episodes of intense pain in the face originating from the trigeminal nerve. The clinical association between TN and hemifacial spasm is the so-called tic douloureux. It has been described as among the most painful conditions known to mankind. It is estimated that 1 in 1500or 2000people suffer from TN although the actual figure may be significantly higher due to frequent misdiagnosis. In a majority of cases TN symptoms begin appearing more frequently over the age of 50although there have been cases with patients being as young as three years of age. It is more common in females than males. , Source: Wikipedia"
ankylosing spondylitis,"Also known as Rheumatoid Spondylitis Marie Strumpell Disease Bechterew Diseaseand  ,Ankylosing spondylitis (AS from Greek ankylos crooked; spondylos vertebrae; -itis inflammation) previously known as Bechterew's disease or syndrome) and Marie-Strümpell disease is a chronic inflammatory disease of the axial skeleton with variable involvement of peripheral joints and nonarticular structures. AS is a form of spondyloarthritis a chronic inflammatory arthritis where immune mechanisms are thought to have a key role. It mainly affects joints in the spine and the sacroiliac joint in the pelvis and can cause eventual fusion of the spine. , Source: Wikipedia"
peripheral nerve disorder,"Also known as Peripheral Neuropathy  ,Peripheral neuropathy is damage to nerves of the peripheral nervous systemwhich may be caused either by diseases of or trauma to the nerve or the side effects of systemic illness. , Source: Wikipedia"
sebaceous cyst,"Also known as Wen Epidermoid Cyst Epithelial Cystand Keratin Cyst  ,Asebaceous cyst /sɪˈbeɪʃəs sɪst/ is a term that loosely refers to either epidermoid cysts (also known as epidermal cysts; L72.0) or pilar cysts (also known as trichilemmal cysts; L72.1). Because an epidermoid cyst originates in the epidermis and a pilar cyst originates from hair follicles by definition neither type of cyst is strictly a sebaceous cyst. The name is regarded as a misnomer as the fatty white semi-solid material in both of these cyst entities is not sebum but keratin. Furthermore under the microscope neither entity contains sebaceous glands. In practice however the terms are often used interchangeably. , Source: Wikipedia"
poisoning due to antipsychotics, Poisoning due to antipsychotics is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
behcet disease,"Behcet's syndrome is a disease that involves inflammation of the blood vessels. It causes problems in many parts of the body. The most common symptoms are Sores in the mouth Sores on the sex organs Other skin sores Swelling of parts of the eye Pain swelling and stiffness of the joints More serious problems can include meningitis blood clots inflammation of the digestive system and blindness. Doctors aren't sure what causes Behcet's. It is rare in the United States but is common in the Middle East and Asia. It mainly affects people in their 20s and 30s. Diagnosing Behcet's can take a long time because symptoms may come and go and it may take months or even years to have all of the symptoms. There is no cure. Treatment focuses on reducing pain and preventing serious problems. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases , Source: MedlinePlus"
neurosis,"Also known as Neurotic Disorder  ,Neurosis is a class of functional mental disorders involving distress but neither delusions nor hallucinations whereby behavior is not outside socially acceptable norms. It is also known as psychoneurosis or neurotic disorderand thus those suffering from it are said to be neurotic. The term essentially describes an invisible injury and the resulting condition. , Source: Wikipedia"
prostate cancer,"Also known as Cancer Of The Prostate and Malignant Neoplasm Of Prostate  ,Prostate cancer is a form of cancer that develops in the prostate a gland in the male reproductive system. Most prostate cancers are slow growing; however there are cases of aggressive prostate cancers. The cancer cells may metastasize (spread) from the prostate to other parts of the body particularly the bones and lymph nodes. Prostate cancer may cause pain difficulty in urinating problems during sexual intercourseor erectile dysfunction. Other symptoms can potentially develop during later stages of the disease. , Source: Wikipedia"
cerebral edema,"Cerebral edema or cerebral œdema is an excess accumulation of fluid in the intracellular or extracellular spaces of the brain. ,Source: Wikipedia"
dislocation of the finger,Also known as Finger Dislocation and Dislocated Finger   Dislocation of the finger is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
birth trauma,"Also known as Birth Injury  ,Birth trauma may refer to: ,Source: Wikipedia"
chronic pancreatitis,"Also known as Recurrent Pancreatitis  ,Chronic pancreatitis is a long-standing inflammation of the pancreas that alters its normal structure and functions. It can present as episodes of acute inflammation in a previously injured pancreas or as chronic damage with persistent pain or malabsorption. , Source: Wikipedia"
hematoma,"Ahematoma or haematoma is a localized collection of blood outside the blood vessels usually in liquid form within the tissue. An ecchymosis commonly called a bruise is a hematoma of the skin larger than 10mm. Internal bleeding is generally considered to be a spreading of blood within the abdomen or skullnot within muscle. , Source: Wikipedia"
carcinoid syndrome,"Also known as Carcinoid Tumor  ,Carcinoid syndrome refers to the array of symptoms that occur secondary to carcinoid tumors. The syndrome includes flushing and diarrhea and less frequentlyheart failure and bronchoconstriction. It is caused by endogenous secretion of mainly serotonin and kallikrein. , Source: Wikipedia"
open wound of the head, Open wound of the head is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
seborrheic keratosis," Also known as Seborrhoeic Keratosis Senile Keratosis Inverted Follicular Keratosis Seborrheic Warts and Basal Cell Papilloma  ,Aseborrheic keratosis (also known as seborrheic verruca and senile wart:767:637) is a noncancerous benign skin growth that originates in keratinocytes. Like liver spots seborrheic keratoses are seen more often as people age. In fact they are sometimes humorously referred to as the barnacles of old age. , Source: Wikipedia"
burn,"Also known as Burn Injury  ,A burn is a type of injury to flesh or skin caused by heat electricity chemicals friction or radiation. Burns that affect only the superficial skin are known as superficial or first-degree burns. When damage penetrates into some of the underlying layers it is a partial-thickness or second-degree burn. In a full-thickness or third-degree burn the injury extends to all layers of the skin. A fourth-degree burn additionally involves injury to deeper tissuessuch as muscle or bone. , Source: Wikipedia"
spontaneous abortion,"Also known as Miscarriage and Miscarriage Of Pregnancy  ,Miscarriage is the spontaneous end of a pregnancy at a stage where the embryo or fetus is incapable of surviving independently. Miscarriage is the most common complication of early pregnancy. ,Source: Wikipedia"
genital herpes,"Also known as Genital HSV and Herpes Genitalis  ,Herpes genitalis (or genital herpes) refers to a genital infection by Herpes simplex virus. , Source: Wikipedia"
adjustment reaction,"An adjustment disorder occurs when an individual is unable to adjust to or cope with a particular stressor like a major life event. Since people with this disorder normally have symptoms that depressed people do such as general loss of interest feelings of hopelessness and crying this disorder is also sometimes known as situational depression. Unlike major depression howeverthe disorder is caused by an outside stressor and generally resolves once the individual is able to adapt to the situation. One hypothesis for adjustment disorder is that it may represent a sub-threshold clinical syndrome. , Source: Wikipedia"
gallstone,"Also known as Cholelithiasis Gallstone Diseaseand Calculus Of Gallbladder  ,Agallstone is a crystalline concretion formed within the gallbladder by accretion of bile components. These calculi are formed in the gallbladder but may distally pass into other parts of the biliary tract such as the cystic duct common bile duct pancreatic duct or the ampulla of Vater. Rarely in cases of severe inflammation gallstones may erode through the gallbladder into adherent bowel potentially causing an obstruction termed gallstone ileus. , Source: Wikipedia"
multiple sclerosis,"Also known as MS Disseminated Sclerosisand Insular Sclerosis  ,Multiple sclerosis (MS) also known as disseminated sclerosis or encephalomyelitis disseminata is a inflammatory disease in which myelin sheaths around axons of the brain and spinal cord are damaged leading to loss of myelin and scarring. The cause is not clear but the underlying mechanism is thought to be either destruction by the immune system or failure of the myelin-producing cells. These changes affect the ability of nerve cells to communicate resulting in a wide range of signs and symptoms. It is more common in women and the onset typically occurs in young adults. , Source: Wikipedia"
zenker diverticulum,"Also known as Pharyngeal Diverticulum Pharyngoesophageal Diverticulumand Hypopharyngeal Diverticulum  ,In anatomy Zenker's diverticulum also pharyngoesophageal diverticulum also pharyngeal pouch also hypopharyngeal diverticulum is a diverticulum of the mucosa of the pharynx just above the cricopharyngeal muscle (i.e. above the upper sphincter of the esophagus). It is a false diverticulum (not involving all layers of the esophageal wall). , Source: Wikipedia"
fracture of the pelvis,"Also known as Pelvic Fracture and Fractured Pelvis  ,Pelvic fracture is a disruption of the bony structure of the pelvis including the hip bone sacrum and coccyx. The most common cause in elderly is a fall but the most significant fractures involve high-energy forces such as a motor vehicle accident cycling accidents or a fall from significant height. Diagnosis is made on the basis of history clinical features and special investigations usually including X-ray and CT. Because the pelvis cradles so many internal organs pelvic fractures may produce significant internal bleeding which is invisible to the eye. Emergency treatment consists of advanced trauma life support management. After stabilisationthe pelvis may be surgically reconstructed. , Source: Wikipedia"
pneumoconiosis,"Pneumoconiosis is an occupational lung disease and a restrictive lung disease caused by the inhalation of dustoften in mines. , Source: Wikipedia"
hyperlipidemia,"Also known as Lipidemia and Excessive Fat In The Blood  ,Hyperlipidemia hyperlipoproteinemiaor hyperlipidaemia (British English) involves abnormally elevated levels of any or all lipids and/or lipoproteins in the blood. It is the most common form of dyslipidemia (which also includes any decreased lipid levels). , Source: Wikipedia"
ulcerative colitis,"Ulcerative colitis (Colitis ulcerosa UC) is a form of inflammatory bowel disease (IBD). Ulcerative colitis is a form of colitis a disease of the colon (large intestine) that includes characteristic ulcers or open sores. The main symptom of active disease is usually constant diarrhea mixed with blood of gradual onset. IBD is often confused with irritable bowel syndrome (IBS)atroublesome but much less serious condition. , Source: Wikipedia"
male genitalia infection, Male genitalia infection is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
hpv,"Also known as Human Papillomavirus  ,Human papillomavirus (HPV) is a virus from the papillomavirus family that is capable of infecting humans. Like all papillomaviruses HPVs establish productive infections only in keratinocytes of the skin or mucous membranes. While the majority of the known types of HPV cause no symptoms in most people some types can cause warts (verrucae) while others can—in a minority of cases—lead to cancers of the cervix vulva vagina penis oropharynx and anus. Recently HPV has been linked with an increased risk of cardiovascular disease. In addition HPV 16 and 18 infections are strongly associated with an increased odds ratio of developing oropharyngeal (throat) cancer. , Source: Wikipedia"
angina,"Also known as Angina Pectoris Cardiac Angina Ischemic Chest Painand Anginal Syndrome  ,Angina pectoris – commonly known as angina – is chest pain due to ischemia of the heart muscle generally due to obstruction or spasm of the coronary arteries. The main cause of Angina pectoris is coronary artery disease due to atherosclerosis of the arteries feeding the heart. The term derives from the Latin angina (infection of the throat) from the Greek ἀγχόνη ankhonē (strangling) and the Latin pectus (chest) and can therefore be translated as a strangling feeling in the chest. , Source: Wikipedia"
injury to the spinal cord,"Also known as Spinal Cord Injury and Spinal Cord Trauma  ,A spinal cord injury (SCI) refers to any injury to the spinal cord that is caused by trauma instead of disease. Depending on where the spinal cord and nerve roots are damaged the symptoms can vary widelyfrom pain to paralysis to incontinence. Spinal cord injuries are described at various levels of incompletewhich can vary from having no effect on the patient to a complete injury which means a total loss of function. , Source: Wikipedia"
nasal polyp,"Also known as Nose Polyp  ,Nasal polyps are polypoidal masses arising mainly from the mucous membranes of the nose and paranasal sinuses. They are overgrowths of the mucosa that frequently accompany allergic rhinitis. They are freely movable and nontender. ,Source: Wikipedia"
lichen simplex,"Also known as Lichen Simplex Chronicus and Neurodermatitis Circumscripta  ,Lichen simplex chronicus (also known as Neurodermatitis) is a skin disorder characterized by chronic itching and scratching.:58 The constant scratching causes thick leathery brownish skin. , Source: Wikipedia"
trichiasis,"Trichiasis is a medical term for abnormally positioned eyelashes that grow back toward the eye touching the cornea or conjunctiva. This can be caused by infection inflammation autoimmune conditions congenital defectseyelid agenesis and trauma such as burns or eyelid injury. , Source: Wikipedia"
acariasis,"Also known as Mite Infestation  ,Acariasis is an infestation with mites. ,Source: Wikipedia"
colorectal cancer,"Also known as Colon cancer  ,Colorectal cancer commonly known as colon cancer or bowel cancer is a cancer from uncontrolled cell growth in the colon or rectum (parts of the large intestine) or in the appendix. Genetic analysis shows that essentially colon and rectal tumours are genetically the same cancer. Symptoms of colorectal cancer typically include rectal bleeding and anemia which are sometimes associated with weight loss and changes in bowel habits. , Source: Wikipedia"
skin pigmentation disorder,"Pigmentation means coloring. Skin pigmentation disorders affect the color of your skin. Skin cells give your skin color by making a substance called melanin. When these cells become damaged or unhealthy it affects melanin production. Some pigmentation disorders affect just patches of skin. Others affect your entire body. If your body makes too much melanin your skin gets darker. Pregnancy Addison's disease and sun exposure all can make your skin darker. If your body makes too little melanin your skin gets lighter. Vitiligo is a condition that causes patches of light skin. Albinism is a genetic condition affecting all of a person's skin. Infectionsblisters and burns can cause lighter skin. , Source: MedlinePlus"
factitious disorder,"Afactitious disorder is a condition in which a person acts as if they have an illness by deliberately producing feigning or exaggerating symptoms. Factitious disorder by proxy is a condition in which a person deliberately produces feigns or exaggerates symptoms in a person in their care. Münchausen syndrome a severe form of factitious disorder was the first kind identified and was for a period the umbrella term for all such disorders. People with this condition may produce symptoms by contaminating urine samples taking hallucinogens injecting themselves with bacteria to produce infections and other similar behaviour. They might be motivated to perpetrate factitious disorders either as a patient or by proxy as a caregiver to gain any variety of benefits including attention nurturance sympathy and leniency that are seen as not obtainable any other way. In contrast somatoform disorders are characterised by multiple somatic complaintsalbeit both are diagnoses of exclusion. , Source: Wikipedia"
lymphogranuloma venereum,"Also known as LGV  ,Lymphogranuloma venereum (also known as Climatic buboDurand–Nicolas–Favre diseasePoradenitis inguinaleand Strumous bubo) is a sexually transmitted disease caused by the invasive serovars L1 L2Laor L3 of Chlamydia trachomatis. , Source: Wikipedia"
galactorrhea of unknown cause, Galactorrhea of unknown cause is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
g6pd enzyme deficiency,"Also known as G6pd Deficiency  ,Adisease-producing enzyme deficiency subject to many variants some of which cause a deficiency of GLUCOSE-6-PHOSPHATE DEHYDROGENASE activity in erythrocytes leading to hemolytic anemia. , Source: MeSH"
nerve impingement near the shoulder,"Also known as Shoulder Impingement Syndrome and Subacromial Impingement  ,Compression of the rotator cuff tendons and subacromial bursa between the humeral head and structures that make up the coracoacromial arch and the humeral tuberosities. This condition is associated with subacromial bursitis and rotator cuff (largely supraspinatus) and bicipital tendon inflammation with or without degenerative changes in the tendon. Pain that is most severe when the arm is abducted in an arc between 40 and 120 degrees sometimes associated with tears in the rotator cuff is the chief symptom. (From Jablonski's Dictionary of Syndromes and Eponymic Diseases2d ed) , Source: MeSH"
toxoplasmosis,"Toxoplasmosis is a parasitic disease caused by the protozoan Toxoplasma gondii. The parasite infects most genera of warm-blooded animals including humans but the primary host is the felid (cat) family. Animals are infected by eating infected meat by ingestion of feces of a cat that has itself recently been infected or by transmission from mother to fetus. Cats are the primary source of infection to human hosts although contact with raw meat especially porkis a more significant source of human infections in some countries. Fecal contamination of hands is a significant risk factor. , Source: Wikipedia"
fibroadenoma,"Fibroadenomas of the breast are lumps composed of fibrous and glandular tissue. Because breast cancer can also appear as a lump doctors may recommend a tissue sample (biopsy) to rule out cancer in older patients. Unlike typical lumps from breast cancer fibroadenomas are easy to movewith clearly defined edges. , Source: Wikipedia"
open wound of the hand, Open wound of the hand is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
missed abortion,"Miscarriage is the spontaneous end of a pregnancy at a stage where the embryo or fetus is incapable of surviving independently. Miscarriage is the most common complication of early pregnancy. , Source: Wikipedia"
diabetic ketoacidosis,"Also known as Diabetic Acidosis and Diabetic Ketosis  ,Diabetic ketoacidosis (DKA) is a potentially life-threatening complication in patients with diabetes mellitus. It happens predominantly in those with type 1 diabetesbut it can occur in those with type 2 diabetes under certain circumstances. DKA results from a shortage of insulin; in response the body switches to burning fatty acids and producing acidic ketone bodies that cause most of the symptoms and complications. , Source: Wikipedia"
granuloma inguinale,"Also known as Donovanosis  ,Granuloma inguinale is a bacterial disease caused by Klebsiella granulomatis characterized by ulcerative genital lesions. It is endemic in many less developed regions. It is also known as donovanosis granuloma genitoinguinale granuloma inguinale tropicum granuloma venereum granuloma venereum genitoinguinale lupoid form of groin ulceration serpiginous ulceration of the groinulcerating granuloma of the pudendum and ulcerating sclerosing granuloma. , Source: Wikipedia"
hemorrhagic fever,"The viral hemorrhagic (or haemorrhagic) fevers (VHFs) are a diverse group of animal and human illnesses that may be caused by five distinct families of RNA viruses: the families Arenaviridae Filoviridae Bunyaviridae Flaviviridae and Rhabdoviridae. All types of VHF are characterized by fever and bleeding disorders and all can progress to high fever shock and death in many cases. Some of the VHF agents cause relatively mild illnesses such as the Scandinavian nephropathia epidemica while others such as the African Ebola virus can cause severelife-threatening disease. , Source: Wikipedia"
obsessive compulsive disorder (ocd),"Also known as OCD and Obsessive Compulsive Neurosis  ,Obsessive–compulsive disorder (OCD) is an anxiety disorder characterized by intrusive thoughts that produce uneasiness apprehension fear or worry; by repetitive behaviors aimed at reducing the associated anxiety; or by a combination of such obsessions and compulsions. Symptoms of the disorder include excessive washing or cleaning; repeated checking; extreme hoarding; preoccupation with sexual violent or religious thoughts; relationship-related obsessions; aversion to particular numbers; and nervous rituals such as opening and closing a door a certain number of times before entering or leaving a room. These symptoms can be alienating and time-consuming and often cause severe emotional and financial distress. The acts of those who have OCD may appear paranoid and potentially psychotic. However OCD sufferers generally recognize their obsessions and compulsions as irrationaland may become further distressed by this realization. , Source: Wikipedia"
injury of the ankle,"Also known as Ankle injury  ,A sprained ankle also known as an ankle sprain twisted ankle rolled ankle floppy ankle ankle injury or ankle ligament injuryis a common medical condition where one or more of the ligaments of the ankle is torn or partially torn. , Source: Wikipedia"
hyponatremia,"Also known as Sodium Deficiency Sodium Depletionand Decreased Serum Sodium  ,Hyponatremia (American English) or hyponatraemia (British English) is an electrolyte disturbance in which the sodium ion concentration in the serum is lower than normal. Sodium is the dominant extracellular cation (positive ion) and cannot freely cross from the interstitial space through the cell membrane into the cell. Its homeostasis (stability of concentration) inside the cell is vital to the normal function of any cell. Normal serum sodium levels are between 135 and 145 mEq/L. Hyponatremia is defined as a serum level of less than 135 mEq/L and is considered severe when the serum level is below 125 mEq/L. , Source: Wikipedia"
stricture of the esophagus,"Also known as Esophageal Stricture and Esophageal Stenosis  ,A benign esophageal stricture is a narrowing or tightening of the esophagus that causes swallowing difficulties. ,Source: Wikipedia"
fracture of the ankle,Also known as Broken Ankle and Ankle Fracture   Fracture of the ankle is encountered rarely on Symcat. We will add more content to this page if enough people like you show interest.
soft tissue sarcoma,"Also known as Sarcoma Malignant Soft Tissue Tumorsand Mesenchymal Malignant Tumor  ,Asoft-tissue sarcoma is a form of sarcoma that develops in connective tissue though the term is sometimes applied to elements of the soft tissue that are not currently considered connective tissue. , Source: Wikipedia"
bone disorder,"Also known as Bone Disease  ,Bone disease refers to the medical conditions which affect the bone. ,Source: Wikipedia"
epilepsy,"Also known as Seizure Disorder  ,Epilepsy is a common and diverse set of chronic neurological disorders characterized by seizures. Some definitions of epilepsy require that seizures be recurrent and unprovoked but others require only a single seizure combined with brain alterations which increase the chance of future seizures. In many cases a cause cannot be identified; however factors that are associated include brain trauma strokes brain cancer and drug and alcohol misuse among others. , Source: Wikipedia"
personality disorder,"Personality disorder according to the current version of the Diagnostic and Statistical Manual (DSM-5) refers to a class of maladaptive personality traits that is enduring patterns of behaviorcognitions and inner experience that are exhibited across many contexts and deviate markedly from those accepted by the individual's culture. These patterns are inflexible and are associated with significant distress or disability. The definitions may vary some according to other sources. , Source: Wikipedia"
shingles (herpes zoster),"Also known as Zoster Herpes Zosterand Herpes Zona  ,Herpes zoster (or simply zoster) commonly known as shingles and also known as zona is a viral disease characterized by a painful skin rash with blisters in a limited area on one side of the body (left or right) often in a stripe. The initial infection with varicella zoster virus (VZV) causes the acute short-lived illness chickenpox which generally occurs in children and young adults. Once an episode of chickenpox has resolved the virus is not eliminated from the body but can go on to cause shingles — an illness with very different symptoms — often many years after the initial infection. Herpes zoster is not the same disease as herpes simplex despite the name similarity; both the varicella zoster virus and herpes simplex virus belong to the same viral subfamily Alphaherpesvirinae. , Source: Wikipedia"
tourette syndrome,"Tourette syndrome (also called Tourette's syndrome Tourette's disorder Gilles de la Tourette syndrome GTS or more commonly simply Tourette's or TS) is an inherited neuropsychiatric disorder with onset in childhood characterized by multiple physical (motor) tics and at least one vocal (phonic) tic. These tics characteristically wax and wane can be suppressed temporarily and are preceded by a premonitory urge. Tourette's is defined as part of a spectrum of tic disorders which includes provisionaltransient and persistent (chronic) tics. , Source: Wikipedia"
avascular necrosis,"Also known as Ischemic Necrosis and Avascular Necrosis Of Bone  ,Avascular necrosis (also osteonecrosis bone infarction aseptic necrosis ischemic bone necrosis and AVN) is a disease where there is cellular death (necrosis) of bone components due to interruption of the blood supply. Without blood the bone tissue dies and the bone collapses. If avascular necrosis involves the bones of a jointit often leads to destruction of the joint articular surfaces. (see Osteochondritis dissecans). , Source: Wikipedia"
strep throat,"Also known as Streptococcal Pharyngitis and Streptococcal Sore Throat  ,Streptococcal pharyngitis streptococcal tonsillitis or streptococcal sore throat (known colloquially as strep throat) is a type of pharyngitis caused by a group A streptococcal infection. It affects the pharynx including the tonsils and possibly the larynx. Common symptoms include fever sore throatand enlarged lymph nodes. It is the cause of 37% of sore throats among children and 5-15% in adults. , Source: Wikipedia"
spinocerebellar ataxia,"Also known as Spinocerebellar Atrophy  ,Spinocerebellar ataxia (SCA) is a progressive degenerative genetic disease with multiple types each of which could be considered a disease in its own right. An estimated 15000people in the United States are diagnosed with Ataxia SCA's are the largest group of this hereditary progressivedegenerative and often fatal neurodegenerative disorders. There is no known effective treatment or cure. Ataxia can affect anyone of any age. It is caused by either a recessive or dominant gene. Many times people are not aware that they carry the ataxia gene until they have children who begin to show signs of having the disorder. , Source: Wikipedia"
osteomyelitis,"Also known as Bone Infection  ,Osteomyelitis (sometimes abbreviated to OM and derived from Greek words osteon meaning bone myelo- meaning marrow and -itis meaning inflammation) is infection and inflammation of the bone or bone marrow. It can be usefully subclassified on the basis of the causative organism (pyogenic bacteria or mycobacteria) the routeduration and anatomic location of the infection. , Source: Wikipedia"
sjogren syndrome,"Sjogren's syndrome is a disease that causes dryness in your mouth and eyes. It can also lead to dryness in other places that need moisture such as your nose throat and skin. Most people who get Sjogren's syndrome are older than 40. Nine of 10 are women. Sjogren's syndrome is sometimes linked to rheumatic problems such as rheumatoid arthritis. Sjogren's syndrome is an autoimmune disease. If you have an autoimmune disease your immune system which is supposed to fight disease mistakenly attacks parts of your own body. In Sjogren's syndrome your immune system attacks the glands that make tears and saliva. It may also affect your joints lungs kidneys blood vesselsdigestive organs and nerves. The main symptoms are: Dry eyes Dry mouth Treatment focuses on relieving symptoms. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases , Source: MedlinePlus"
adhesive capsulitis of the shoulder,"Also known as Frozen Shoulder  ,Frozen shoulder medically referred to as adhesive capsulitis is a disorder in which the shoulder capsule the connective tissue surrounding the glenohumeral joint of the shoulder becomes inflamed and stiffgreatly restricting motion and causing chronic pain. , Source: Wikipedia"
